section,reseau,type_verre,priorite,nom_verre,matiere,traitement,prix,photochromique_possible,supplement_photochromique,reference_affichee,prix_versailles,prix_lvdb,prix_autres
reseaux,seveane,progressifs,2,Varilux Cft Max,Ormix,CZ Sapph,196,oui,19,Varilux Cft Max Fit Ormix EPS Cz Sapph,,,
reseaux,seveane,progressifs,2,Varilux Cft Max,Ormix,CZ Prev,196,oui,19,Varilux Cft Max Fit Ormix EPS Cz F Prev,,,
reseaux,seveane,progressifs,3,Varilux Cft Max,Orma,CZ Sapph,190,oui,19,Varilux Cft Max Orma EPS Cz Sapph,,,
reseaux,seveane,progressifs,3,Varilux Cft Max,Orma,CZ Prev,190,oui,19,Varilux Cft Max Orma EPS Cz F Prev,,,
reseaux,seveane,progressifs,3,Varilux Cft Max,Ormix,CZ Sapph,190,oui,19,Varilux Cft Max Ormix EPS Cz Sapph,,,
reseaux,seveane,progressifs,3,Varilux Cft Max,Ormix,CZ Prev,190,oui,19,Varilux Cft Max Ormix EPS Cz F Prev,,,
reseaux,seveane,progressifs,4,Essilor Amatsi,Orma,CZ Sapph,171,oui,19,Essilor Amatsi Xt Orma BUC Cz Sapph,,,
reseaux,seveane,progressifs,4,Essilor Amatsi,Orma,CZ Prev,171,oui,19,Essilor Amatsi Xt Orma BUC Cz F Prev,,,
reseaux,seveane,progressifs,4,Essilor Amatsi,Ormix,CZ Sapph,171,oui,19,Essilor Amatsi Xt Ormix BUC Cz Sapph,,,
reseaux,seveane,progressifs,4,Essilor Amatsi,Ormix,CZ Prev,171,oui,19,Essilor Amatsi Xt Ormix BUC Cz F Prev,,,
reseaux,seveane,unifocaux,1,Eyezen,Orma,CZ Sapph,99,oui,19,Eyezen Boost 0.6 Fit Orma EPS Cz Sapph,,,
reseaux,seveane,unifocaux,1,Eyezen,Orma,CZ Prev,99,oui,19,Eyezen Boost 0.6 Fit Orma EPS Cz F Prev,,,
reseaux,seveane,unifocaux,1,Eyezen,Ormix,CZ Sapph,99,oui,19,Eyezen Boost 0.6 Fit Ormix EPS Cz Sapph,,,
reseaux,seveane,unifocaux,1,Eyezen,Ormix,CZ Prev,99,oui,19,Eyezen Boost 0.6 Fit Ormix EPS Cz F Prev,,,
reseaux,seveane,unifocaux,2,Eyezen,Orma,CZ Sapph,96,oui,19,Eyezen Start Fit Orma EPS Cz Sapph,,,
reseaux,seveane,unifocaux,2,Eyezen,Orma,CZ Prev,96,oui,19,Eyezen Start Fit Orma EPS Cz F Prev,,,
reseaux,seveane,unifocaux,2,Eyezen,Ormix,CZ Sapph,96,oui,19,Eyezen Start Fit Ormix EPS Cz Sapph,,,
reseaux,seveane,unifocaux,2,Eyezen,Ormix,CZ Prev,96,oui,19,Eyezen Start Fit Ormix EPS Cz F Prev,,,
reseaux,seveane,unifocaux,3,Unifocal Generique,Orma,CZ Sapph,75,oui,19,Orma BUC Cz Sapph,,,
reseaux,seveane,unifocaux,3,Unifocal Generique,Orma,CZ Prev,75,oui,19,Orma BUC Cz F Prev,,,
reseaux,seveane,unifocaux,3,Unifocal Generique,Ormix,CZ Sapph,75,oui,19,Ormix BUC Cz Sapph,,,
reseaux,seveane,unifocaux,3,Unifocal Generique,Ormix,CZ Prev,75,oui,19,Ormix BUC Cz F Prev,,,
reseaux,seveane,unifocaux,4,Eyezen Kids,Orma,CZ Sapph,94,oui,19,Eyezen Kids Fit Orma EPS Cz Sapph,,,
reseaux,seveane,unifocaux,4,Eyezen Kids,Orma,CZ Prev,94,oui,19,Eyezen Kids Fit Orma EPS Cz F Prev,,,
reseaux,seveane,unifocaux,4,Eyezen Kids,Ormix,CZ Sapph,94,oui,19,Eyezen Kids Fit Ormix EPS Cz Sapph,,,
reseaux,seveane,unifocaux,4,Eyezen Kids,Ormix,CZ Prev,94,oui,19,Eyezen Kids Fit Ormix EPS Cz F Prev,,,
